commit,subject,scope heuristic,patch check against 54c676ebf,file count,paths
2edacde4d4c01490834725774aa878dbc373c41d,chore(deps): pin earshot below 1.2.0 pending a VAD threshold re-pick (#6392),docs/tooling,applies,1,renovate.json
ffb12d3b05fe1ebd62006dbcd2f079be4e210b70,Fix mobile thread tail and iOS channel header (#6399),build/release,conflict or missing prerequisite,26,mobile/ios/Runner/AppDelegate.swift | mobile/ios/Runner/JumpToLatestGlassButton.swift | mobile/ios/RunnerTests/RunnerTests.swift | mobile/lib/features/channels/channel_detail_page.dart | mobile/lib/features/channels/channel_detail_page/app_bar.dart | mobile/lib/features/channels/compose_bar.dart | mobile/lib/features/channels/compose_bar/camera_preview.dart | mobile/lib/features/channels/compose_bar/ios_photo_picker.dart | mobile/lib/features/channels/compose_bar/photo_gallery_picker.dart | mobile/lib/features/channels/media_viewer_page.dart | mobile/lib/features/channels/media_viewer_page/image_controls.dart | mobile/lib/features/channels/media_viewer_page/video_viewer.dart | mobile/lib/features/channels/thread_detail_helpers.dart | mobile/lib/features/channels/thread_detail_page.dart | mobile/lib/features/pairing/pairing_page.dart | mobile/lib/features/settings/settings_page.dart | mobile/lib/shared/widgets/buzz_sheet_header.dart | mobile/lib/shared/widgets/frosted_app_bar.dart | mobile/lib/shared/widgets/ios_glass_navigation_button.dart | mobile/pubspec.lock | mobile/pubspec.yaml | mobile/test/features/channels/channel_detail_page_test.dart | mobile/test/features/pairing/pairing_page_test.dart | mobile/test/features/settings/settings_page_test.dart | mobile/test/shared/widgets/frosted_app_bar_test.dart | mobile/test/shared/widgets/modal_presentation_test.dart
8740a1fa94dd14a3eb5cd2a570b0be2c4a68cbfe,docs: clarify two-layer moderation ownership (#6481),docs/tooling,applies,1,VISION_MODERATION.md
4e3c9e619c93dd26677b392ad1f8cf0d12c8f855,fix(desktop): sender names in notifications + macOS click-through routing (#6427),client,conflict or missing prerequisite,18,desktop/src/app/AppShell.helpers.test.mjs | desktop/src/app/AppShell.helpers.ts | desktop/src/app/navigation/searchHitNavigation.test.mjs | desktop/src/app/navigation/searchHitNavigation.ts | desktop/src/app/navigation/useAppNavigation.ts | desktop/src/app/useAppShellDesktopNotifications.ts | desktop/src/features/notifications/lib/desktop.ts | desktop/src/features/notifications/lib/desktopActivations.test.mjs | desktop/src/features/notifications/lib/feed.ts | desktop/src/features/notifications/lib/notificationFormat.test.mjs | desktop/src/features/notifications/lib/notificationFormat.ts | desktop/src/features/notifications/lib/senderName.ts | desktop/src/features/notifications/lib/target.test.mjs | desktop/src/features/notifications/lib/target.ts | desktop/src/features/notifications/use-feed-desktop-notifications.ts | desktop/src/features/notifications/useNotificationSenderName.ts | desktop/src/features/profile/hooks.ts | desktop/tests/e2e/dm-double-notification.spec.ts
b56a52ca11296b86ee41c41278a1169f92f245b6,test(benchmarks): expand Buzz-native dataset (#6448),docs/tooling,conflict or missing prerequisite,42,benchmarks/buzz-dataset/README.md | benchmarks/buzz-dataset/ambiguous-user-mention/README.md | benchmarks/buzz-dataset/ambiguous-user-mention/environment/Dockerfile | benchmarks/buzz-dataset/ambiguous-user-mention/instruction.md | benchmarks/buzz-dataset/ambiguous-user-mention/task.toml | benchmarks/buzz-dataset/ambiguous-user-mention/tests/test.sh | benchmarks/buzz-dataset/ambiguous-user-mention/tests/verify.py | benchmarks/buzz-dataset/cross-thread-requests/README.md | benchmarks/buzz-dataset/cross-thread-requests/environment/Dockerfile | benchmarks/buzz-dataset/cross-thread-requests/instruction.md | benchmarks/buzz-dataset/cross-thread-requests/task.toml | benchmarks/buzz-dataset/cross-thread-requests/tests/test.sh | benchmarks/buzz-dataset/cross-thread-requests/tests/verify.py | benchmarks/buzz-dataset/interleaved-agent-reports/README.md | benchmarks/buzz-dataset/interleaved-agent-reports/environment/Dockerfile | benchmarks/buzz-dataset/interleaved-agent-reports/instruction.md | benchmarks/buzz-dataset/interleaved-agent-reports/task.toml | benchmarks/buzz-dataset/interleaved-agent-reports/tests/test.sh | benchmarks/buzz-dataset/interleaved-agent-reports/tests/verify.py | benchmarks/buzz-dataset/multiline-message/README.md | benchmarks/buzz-dataset/multiline-message/environment/Dockerfile | benchmarks/buzz-dataset/multiline-message/instruction.md | benchmarks/buzz-dataset/multiline-message/task.toml | benchmarks/buzz-dataset/multiline-message/tests/test.sh | benchmarks/buzz-dataset/multiline-message/tests/verify.py | benchmarks/buzz-dataset/narrative-agent-names/README.md | benchmarks/buzz-dataset/narrative-agent-names/environment/Dockerfile | benchmarks/buzz-dataset/narrative-agent-names/instruction.md | benchmarks/buzz-dataset/narrative-agent-names/task.toml | benchmarks/buzz-dataset/narrative-agent-names/tests/test.sh | benchmarks/buzz-dataset/narrative-agent-names/tests/verify.py | benchmarks/harbor-buzz-orchestra/README.md | benchmarks/harbor-buzz-orchestra/src/harbor_buzz_orchestra/container_runtime.py | benchmarks/harbor-buzz-orchestra/src/harbor_buzz_orchestra/evidence.py | benchmarks/harbor-buzz-orchestra/src/harbor_buzz_orchestra/provisioning.py | benchmarks/harbor-buzz-orchestra/src/harbor_buzz_orchestra/task_fixtures.py | benchmarks/harbor-buzz-orchestra/testbed/src/harbor_buzz_testbed/buzz_cli.py | benchmarks/harbor-buzz-orchestra/testbed/src/harbor_buzz_testbed/provisioner.py | benchmarks/harbor-buzz-orchestra/testbed/tests/test_provisioner_unit.py | benchmarks/harbor-buzz-orchestra/tests/test_container_runtime.py | benchmarks/harbor-buzz-orchestra/tests/test_evidence.py | benchmarks/harbor-buzz-orchestra/tests/test_expanded_buzz_native_verifiers.py
aea0ef8df9fc24d9aa8bf5c761ab2910026a601b,fix(desktop): simplify duplicate agent provenance (#6401),client,conflict or missing prerequisite,14,desktop/src/features/agents/lib/otherSetupAgent.test.mjs | desktop/src/features/agents/lib/otherSetupAgent.ts | desktop/src/features/agents/ui/OtherSetupAgentMarker.tsx | desktop/src/features/channels/ui/AddMemberSearchResultRow.tsx | desktop/src/features/channels/ui/MembersSidebar.tsx | desktop/src/features/channels/ui/MembersSidebarMemberCard.tsx | desktop/src/features/messages/lib/flushMentionDebounce.test.mjs | desktop/src/features/messages/lib/flushMentionDebounce.ts | desktop/src/features/messages/lib/mentionSuggestionMapping.test.mjs | desktop/src/features/messages/lib/mentionSuggestionMapping.ts | desktop/src/features/messages/lib/useMentions.ts | desktop/src/features/messages/ui/MentionAutocomplete.test.mjs | desktop/src/features/messages/ui/MentionAutocomplete.tsx | desktop/tests/e2e/mentions.spec.ts
1e6f1a2584d1620fcc16baf8df962bda8d7c7ae9,chore(release): release Buzz Desktop version 0.5.18 (#6489),build/release,conflict or missing prerequisite,6,.release/desktop-candidate.json | CHANGELOG.md | desktop/package.json | desktop/src-tauri/Cargo.lock | desktop/src-tauri/Cargo.toml | desktop/src-tauri/tauri.conf.json
6039fed565fd73a07cdddc3143c86733cad91709,fix(desktop): restore human barge-in over agent TTS in huddles (#6431),client,conflict or missing prerequisite,18,desktop/src-tauri/src/huddle/audio_output.rs | desktop/src-tauri/src/huddle/human_floor.rs | desktop/src-tauri/src/huddle/latency_bench.rs | desktop/src-tauri/src/huddle/local_barge_in.rs | desktop/src-tauri/src/huddle/mod.rs | desktop/src-tauri/src/huddle/pipeline.rs | desktop/src-tauri/src/huddle/playout.rs | desktop/src-tauri/src/huddle/relay_api.rs | desktop/src-tauri/src/huddle/state.rs | desktop/src-tauri/src/huddle/stt.rs | desktop/src-tauri/src/huddle/stt_tests.rs | desktop/src-tauri/src/huddle/tts.rs | desktop/src-tauri/src/huddle/tts_pipeline_controls.rs | desktop/src-tauri/src/huddle/tts_playback.rs | desktop/src-tauri/src/huddle/tts_settings.rs | desktop/src-tauri/src/huddle/tts_tests.rs | desktop/src-tauri/src/huddle/tts_voice_selection_tests.rs | desktop/src-tauri/src/huddle/tts_voice_transition.rs
fc2ce6728b3b4805040c0a2f2cc5c15f1c1806ce,feat(archive): add observer-frame retention schema and gated DB adapter (#5719),client,conflict or missing prerequisite,10,desktop/src-tauri/src/app_state.rs | desktop/src-tauri/src/archive/archive_db.rs | desktop/src-tauri/src/archive/archive_db_tests.rs | desktop/src-tauri/src/archive/mod.rs | desktop/src-tauri/src/archive/retention.rs | desktop/src-tauri/src/archive/retention_tests.rs | desktop/src-tauri/src/archive/store_migrations.rs | desktop/src-tauri/src/archive/store_tests.rs | desktop/src-tauri/src/archive/sync.rs | desktop/src-tauri/src/lib.rs
7da8f9abf3245d7ab31ba6e4ad72598b03471f2b,Clarify huddle message destination (#6496),client,applies,1,desktop/src-tauri/src/huddle/agents.rs
aeb741fd31044ec560d953b0986dec2e7e93e2c6,Polish mobile channel navigation and message sends (#6488),client,conflict or missing prerequisite,24,mobile/lib/features/channels/channel_actions_sheet.dart | mobile/lib/features/channels/channel_detail_page.dart | mobile/lib/features/channels/channel_detail_page/message_list.dart | mobile/lib/features/channels/channel_details_page.dart | mobile/lib/features/channels/channel_mutes/channel_mutes_manager.dart | mobile/lib/features/channels/channel_stars/channel_stars_manager.dart | mobile/lib/features/channels/compose_bar/compose_bar_widget.dart | mobile/lib/features/channels/compose_bar/draft_lifecycle.dart | mobile/lib/features/channels/local_message_send_animation_provider.dart | mobile/lib/features/channels/local_message_send_transition.dart | mobile/lib/features/channels/send_message_provider.dart | mobile/lib/features/channels/thread_detail_page.dart | mobile/lib/features/channels/thread_detail_page/message_list.dart | mobile/lib/features/pairing/pairing_page.dart | mobile/lib/shared/widgets/buzz_action_tile.dart | mobile/lib/shared/widgets/frosted_app_bar.dart | mobile/lib/shared/widgets/lucide_star_icon.dart | mobile/test/features/channels/channel_detail_page_test.dart | mobile/test/features/channels/channel_preferences_manager_test.dart | mobile/test/features/channels/compose_bar_test.dart | mobile/test/features/channels/local_message_send_transition_test.dart | mobile/test/features/channels/send_message_provider_test.dart | mobile/test/features/pairing/pairing_page_test.dart | mobile/test/shared/widgets/frosted_app_bar_test.dart
025425591ed67518a63870316f1473ffd02dd520,fix(benchmarks): wait for scripted event delivery (#6487),runtime/auth/data,conflict or missing prerequisite,4,benchmarks/harbor-buzz-orchestra/src/harbor_buzz_orchestra/container_runtime.py | benchmarks/harbor-buzz-orchestra/src/harbor_buzz_orchestra/task_fixtures.py | benchmarks/harbor-buzz-orchestra/tests/test_container_runtime.py | crates/buzz-acp/src/pool.rs
d97780b4777f2fe3430b4e30a7d47fc6837ee059,docs(nips): comprehensive NIP-FI — core + claimable profiles (EDGE/LIFECYCLE/DELEG/CONF) (#5946),docs/tooling,applies,6,docs/nips/NIP-FI-CONF.md | docs/nips/NIP-FI-DELEG.md | docs/nips/NIP-FI-EDGE.md | docs/nips/NIP-FI-LIFECYCLE.md | docs/nips/NIP-FI-MODEL.md | docs/nips/NIP-FI.md
47526784d5c1967de6b2c5d1ee642bccfefbfab9,fix(deletion): allow IRSA S3 credentials (#6495),runtime/auth/data,applies,1,crates/buzz-deletion/src/lib.rs
b0466ac465336cb773fbf7355ec05f7d61f4a3aa,perf(desktop): keep the member roster off the channel-switch path (#6456),client,conflict or missing prerequisite,20,desktop/src-tauri/src/commands/channels.rs | desktop/src-tauri/src/commands/channels_tests.rs | desktop/src/features/agents/knownAgentPubkeys.ts | desktop/src/features/agents/ui/useManagedAgentActions.ts | desktop/src/features/channels/hooks.test.mjs | desktop/src/features/channels/hooks.ts | desktop/src/features/channels/lib/huddleAvailability.test.mjs | desktop/src/features/channels/lib/huddleAvailability.ts | desktop/src/features/channels/rosterFreshness.ts | desktop/src/features/channels/ui/ChannelMembersBar.tsx | desktop/src/features/channels/ui/useChannelActivityTyping.ts | desktop/src/features/channels/ui/useChannelAgentSessions.ts | desktop/src/features/channels/useCanAddChannelMembers.ts | desktop/src/features/messages/lib/formatTimelineMessages.ts | desktop/src/features/messages/lib/useMentions.ts | desktop/src/features/messages/ui/useMentionSendFlow.ts | desktop/src/features/profile/ui/UserProfilePanelDeletion.ts | desktop/src/features/settings/ui/ModerationQueueCard.tsx | desktop/src/shared/lib/rosterDerivations.test.mjs | desktop/src/shared/lib/rosterDerivations.ts
b85d680fb1e3cc7eef6d31d47598741b35836a2e,perf(desktop): stop the Projects fan refetching on re-entry and running after leave (#6458),client,applies,10,desktop/src/features/projects/assignmentOperationFetch.test.mjs | desktop/src/features/projects/assignmentOperationFetch.ts | desktop/src/features/projects/hooks.ts | desktop/src/features/projects/projectEnumeration.test.mjs | desktop/src/features/projects/projectEnumeration.ts | desktop/src/features/projects/projectWorkItems.ts | desktop/src/features/projects/repositoryActivityHooks.ts | desktop/src/features/projects/ui/ProjectsScreen.tsx | desktop/src/shared/api/relayQueryInvalidation.test.mjs | desktop/src/shared/api/relayQueryInvalidation.ts
0e48ff26915aa32d5f05208847b9aba75f4f19cd,feat(workflows): clarify workflow setup and activation (#6470),client,conflict or missing prerequisite,29,desktop/src/features/workflows/ui/WorkflowActionsMenu.tsx | desktop/src/features/workflows/ui/WorkflowCard.tsx | desktop/src/features/workflows/ui/WorkflowDialog.tsx | desktop/src/features/workflows/ui/WorkflowFormBuilder.tsx | desktop/src/features/workflows/ui/WorkflowStepCard.tsx | desktop/src/features/workflows/ui/WorkflowTemplateTextarea.tsx | desktop/src/features/workflows/ui/WorkflowTriggerConditions.tsx | desktop/src/features/workflows/ui/WorkflowsView.tsx | desktop/src/features/workflows/ui/workflowActivationWarning.test.mjs | desktop/src/features/workflows/ui/workflowActivationWarning.ts | desktop/src/features/workflows/ui/workflowConditionExpression.test.mjs | desktop/src/features/workflows/ui/workflowConditionExpression.ts | desktop/src/features/workflows/ui/workflowDefinition.test.mjs | desktop/src/features/workflows/ui/workflowDefinition.ts | desktop/src/features/workflows/ui/workflowReactionCondition.test.mjs | desktop/src/features/workflows/ui/workflowReactionCondition.ts | desktop/src/features/workflows/ui/workflowStepDescription.test.mjs | desktop/src/features/workflows/ui/workflowStepDescription.ts | desktop/src/features/workflows/ui/workflowTemplateVariables.test.mjs | desktop/src/features/workflows/ui/workflowTemplateVariables.ts | desktop/src/features/workflows/ui/workflowTriggerDescription.test.mjs | desktop/src/features/workflows/ui/workflowTriggerDescription.ts | desktop/tests/e2e/navigation.spec.ts | desktop/tests/e2e/workflow-local-controls.spec.ts | desktop/tests/e2e/workflow-local-controls.spec.ts-snapshots/workflow-template-variable-autocomplete-smoke-darwin.png | desktop/tests/e2e/workflow-local-controls.spec.ts-snapshots/workflow-template-variable-autocomplete-smoke-linux.png | desktop/tests/e2e/workflow-reaction-picker.spec.ts | desktop/tests/e2e/workflow-title-stability.spec.ts | desktop/tests/e2e/workflows.spec.ts
eb484387d5816b6f9155ad3a0be79ede3c3d7ad5,chore(desktop): drop unused ORIGINAL_CONTENT from empty-edit-delete spec (#6517),client,conflict or missing prerequisite,1,desktop/tests/e2e/empty-edit-delete.spec.ts
97b1fee5c3d9ad574196e974b520061fccc47d07,fix(desktop): restore true zoom by scaling the root rem (#6514),client,conflict or missing prerequisite,9,desktop/src/app/useWebviewZoomShortcuts.ts | desktop/src/shared/lib/fontSizePreference.test.mjs | desktop/src/shared/lib/fontSizePreference.ts | desktop/src/shared/styles/globals/typography.css | desktop/tailwind.config.js | desktop/tests/e2e/buzz-theme-screenshots.spec.ts | desktop/tests/e2e/inbox-refactor-screenshots.spec.ts | desktop/tests/e2e/profile.spec.ts | desktop/tests/e2e/top-chrome-zoom-clearance.spec.ts
694d804b24cd0b97403b3caf159a55ffd1fc3b08,chore(deps): update swatinem/rust-cache digest to 6323deb (#5441),build/release,applies,3,.github/workflows/ci.yml | .github/workflows/mesh-lifecycle.yml | .github/workflows/release.yml
9008a4d1724afbd8dba0fd99e99cd8305b5d2ecb,chore(deps): update ubuntu:24.04 docker digest to 561618e (#5442),build/release,conflict or missing prerequisite,3,.github/workflows/desktop-release-cache-proof.yml | .github/workflows/linux-canary.yml | .github/workflows/release.yml
f84511c169cf9a98ac03e9c1acb6bf4d68de5cb8,chore(deps): update dependency @tauri-apps/api to v2.11.1 (#5444),build/release,conflict or missing prerequisite,1,pnpm-lock.yaml
2cef92df676490654f13ebe1de56923b2636123f,chore(deps): update rust crate futures to v0.3.33 (#5445),build/release,applies,1,Cargo.lock
d874d67c117e4582cc9549ebe85c942e5e49faf7,chore(deps): update rust crate futures-util to v0.3.33 (#5448),build/release,applies,1,desktop/src-tauri/Cargo.lock
1a0a27d3586b14fb79ec8e162441e610f8548188,chore(deps): update rust crate http to v1.4.2 (#5451),build/release,applies,1,Cargo.lock
9390e11c9babeef221aeb0a22cc61a52700d168f,chore(deps): update rust crate http-body-util to v0.1.4 (#5452),build/release,applies,1,Cargo.lock
2d93ea095535e42ee3a9933f00a4c0bd5e9e1c67,chore(deps): update dependency sonner to v2.0.8 (#6093),build/release,applies,1,pnpm-lock.yaml
f7942167372501576c9f0f589cf2c166882668bb,chore(deps): update rust crate async-trait to v0.1.92 (#6094),build/release,applies,1,Cargo.lock
074561233eef71df9690ec22c2a9c5e798c297a7,fix(composer): preserve caret when inserting mentions mid-message (#6531),client,conflict or missing prerequisite,3,desktop/src/features/messages/lib/mentionHighlightExtension.test.mjs | desktop/src/features/messages/lib/mentionHighlightExtension.ts | desktop/tests/e2e/mentions.spec.ts
723affe5d1340896209bf3aca94c7b791bdcf38b,fix(desktop): remove Buzz entity link previews (#6512),client,conflict or missing prerequisite,11,desktop/src/features/messages/ui/useComposerLinkPreviews.test.mjs | desktop/src/features/messages/ui/useComposerLinkPreviews.tsx | desktop/src/features/projects/hooks.ts | desktop/src/shared/lib/linkPreview.test.mjs | desktop/src/shared/lib/linkPreview.ts | desktop/src/shared/ui/markdown.test.mjs | desktop/src/shared/ui/markdown.tsx | desktop/src/shared/ui/markdown/entityLinks.tsx | desktop/src/shared/ui/markdown/useMessageLinkPreviews.test.mjs | desktop/src/shared/ui/markdown/useMessageLinkPreviews.ts | desktop/tests/e2e/entity-link-recipient-cards.spec.ts
a2d8be5efa126221c7676f7797555dfb2bf5b0e0,feat(desktop-messages): keep agents addressed across messages (#6315),client,conflict or missing prerequisite,49,desktop/src-tauri/src/events/message_tags.rs | desktop/src/features/channels/ui/ChannelPane.tsx | desktop/src/features/communities/useCommunityInit.ts | desktop/src/features/forum/ui/ForumComposer.tsx | desktop/src/features/forum/ui/ForumComposerAutocompletes.tsx | desktop/src/features/home/ui/InboxDetailPane.tsx | desktop/src/features/messages/lib/agentAddressMention.d.mts | desktop/src/features/messages/lib/agentAddressMention.mjs | desktop/src/features/messages/lib/agentAddressMention.test.mjs | desktop/src/features/messages/lib/applyEditTagOverlay.mjs | desktop/src/features/messages/lib/applyEditTagOverlay.test.mjs | desktop/src/features/messages/lib/autoPinMentionedAgentsPreference.test.mjs | desktop/src/features/messages/lib/autoPinMentionedAgentsPreference.ts | desktop/src/features/messages/lib/extractMentionPersonas.ts | desktop/src/features/messages/lib/persistentAgentAudience.test.mjs | desktop/src/features/messages/lib/persistentAgentAudience.ts | desktop/src/features/messages/lib/useMentionSelection.ts | desktop/src/features/messages/lib/useMentions.ts | desktop/src/features/messages/ui/ComposerAddressControls.test.mjs | desktop/src/features/messages/ui/ComposerAddressControls.tsx | desktop/src/features/messages/ui/MentionAutocomplete.test.mjs | desktop/src/features/messages/ui/MentionAutocomplete.tsx | desktop/src/features/messages/ui/MessageAgentAddressPrefix.tsx | desktop/src/features/messages/ui/MessageComposer.tsx | desktop/src/features/messages/ui/MessageComposer.types.ts | desktop/src/features/messages/ui/MessageComposerToolbar.tsx | desktop/src/features/messages/ui/MessageRow.tsx | desktop/src/features/messages/ui/MessageThreadPanel.tsx | desktop/src/features/messages/ui/composerAgentKeyboard.test.mjs | desktop/src/features/messages/ui/persistentAgentAudienceHosts.test.mjs | desktop/src/features/messages/ui/useAddressMentionPulse.test.mjs | desktop/src/features/messages/ui/useAddressMentionPulse.ts | desktop/src/features/messages/ui/useAgentAddressLockPicker.test.mjs | desktop/src/features/messages/ui/useAgentAddressLockPicker.ts | desktop/src/features/messages/ui/useAlwaysAddressShortcut.ts | desktop/src/features/messages/ui/useAutoPinMentionedAgents.ts | desktop/src/features/messages/ui/useComposerMentionPicker.ts | desktop/src/features/messages/ui/useMentionSendFlow.helpers.test.mjs | desktop/src/features/messages/ui/useMentionSendFlow.helpers.ts | desktop/src/features/messages/ui/useMentionSendFlow.ts | desktop/src/features/messages/ui/usePersistentAgentMentionHydration.ts | desktop/src/features/settings/ui/AgentsSettingsPanel.tsx | desktop/src/features/settings/ui/PreventSleepSettingsCard.tsx | desktop/src/shared/lib/keyboard-shortcuts.ts | desktop/src/shared/ui/VideoReviewCommentMarkdown.tsx | desktop/tests/e2e/mentions.spec.ts | desktop/tests/e2e/persistent-agent-audience.spec.ts | desktop/tests/e2e/profile.spec.ts | desktop/tests/e2e/send-channel-binding.spec.ts
8c0f42e187ca82d701251fc849217530178ebace,Add mobile Huddles voice MVP (#6056),runtime/auth/data,conflict or missing prerequisite,92,crates/buzz-relay/src/audio/handler.rs | crates/buzz-relay/src/audio/join.rs | crates/buzz-relay/src/audio/mesh.rs | crates/buzz-relay/src/audio/room.rs | crates/buzz-relay/src/handlers/ingest.rs | desktop/src-tauri/src/huddle/agent_tts_publisher.rs | desktop/src-tauri/src/huddle/mod.rs | desktop/src-tauri/src/huddle/pipeline.rs | desktop/src-tauri/src/huddle/playout.rs | desktop/src-tauri/src/huddle/relay_api.rs | desktop/src-tauri/src/huddle/state.rs | desktop/src-tauri/src/huddle/stt.rs | desktop/src-tauri/src/huddle/stt_tests.rs | desktop/src-tauri/src/huddle/transcription.rs | desktop/src-tauri/src/huddle/tts.rs | desktop/src-tauri/src/huddle/tts_append.rs | desktop/src-tauri/src/huddle/tts_broadcast.rs | desktop/src-tauri/src/huddle/tts_pipeline_controls.rs | desktop/src-tauri/src/huddle/tts_speaker_cancellation.rs | desktop/src-tauri/src/huddle/tts_tests.rs | desktop/src-tauri/src/huddle/tts_voice_selection_tests.rs | desktop/src-tauri/src/huddle/wire.rs | desktop/src/features/huddle/components/HuddleBar.tsx | desktop/src/features/huddle/components/HuddleIndicator.tsx | desktop/src/features/huddle/components/HuddleRoomHeader.tsx | desktop/src/features/huddle/hooks/useHuddleParticipantRoster.test.mjs | desktop/src/features/huddle/hooks/useHuddleParticipantRoster.ts | mobile/HUDDLES.md | mobile/README.md | mobile/analysis_options.yaml | mobile/android/app/build.gradle.kts | mobile/android/app/src/main/AndroidManifest.xml | mobile/android/app/src/main/kotlin/xyz/block/buzz/mobile/HuddleAudioEngine.kt | mobile/android/app/src/main/kotlin/xyz/block/buzz/mobile/HuddleMediaPlugin.kt | mobile/android/app/src/main/kotlin/xyz/block/buzz/mobile/MainActivity.kt | mobile/android/app/src/test/kotlin/xyz/block/buzz/mobile/HuddleActiveTalkerSelectorTest.kt | mobile/android/gradle.properties | mobile/ios/Runner.xcodeproj/project.pbxproj | mobile/ios/Runner/AppDelegate.swift | mobile/ios/Runner/ConcentricSheetSurface.swift | mobile/ios/Runner/HuddleAudioEngine.swift | mobile/ios/Runner/HuddleMediaPlugin.swift | mobile/ios/Runner/Info.plist | mobile/ios/RunnerTests/RunnerTests.swift | mobile/lib/app.dart | mobile/lib/features/channels/channel_detail_page.dart | mobile/lib/features/channels/channel_detail_page/huddle_call_avatar.dart | mobile/lib/features/channels/channel_detail_page/huddle_call_controls.dart | mobile/lib/features/channels/channel_detail_page/huddle_call_participants.dart | mobile/lib/features/channels/channel_detail_page/huddle_drawer.dart | mobile/lib/features/channels/channel_detail_page/huddle_reactions.dart | mobile/lib/features/channels/channel_detail_page/huddle_sheet.dart | mobile/lib/features/channels/channel_detail_page/message_list.dart | mobile/lib/features/channels/channel_detail_page/system_rows.dart | mobile/lib/features/channels/channel_huddle_actions.dart | mobile/lib/features/channels/channel_management_provider.dart | mobile/lib/features/channels/channels_provider.dart | mobile/lib/features/channels/huddle_channel_filter.dart | mobile/lib/features/channels/mobile_huddle_controller.dart | mobile/lib/features/channels/timeline_message.dart | mobile/lib/shared/auth/auth_provider.dart | mobile/lib/shared/community/community_provider.dart | mobile/lib/shared/emoji/emoji_burst.dart | mobile/lib/shared/huddle/huddle.dart | mobile/lib/shared/huddle/huddle_auth.dart | mobile/lib/shared/huddle/huddle_media.dart | mobile/lib/shared/huddle/huddle_session.dart | mobile/lib/shared/huddle/huddle_transport.dart | mobile/lib/shared/huddle/huddle_wire.dart | mobile/lib/shared/profile/user_cache_provider.dart | mobile/lib/shared/relay/nostr_filters.dart | mobile/lib/shared/relay/nostr_models.dart | mobile/lib/shared/relay/relay_session.dart | mobile/lib/shared/theme/app_colors.dart | mobile/lib/shared/theme/app_theme.dart | mobile/lib/shared/widgets/concentric_sheet_surface.dart | mobile/test/features/channels/channel_detail_page_test.dart | mobile/test/features/channels/channel_management_provider_test.dart | mobile/test/features/channels/channel_messages_provider_test.dart | mobile/test/features/channels/channels_provider_test.dart | mobile/test/features/channels/timeline_message_test.dart | mobile/test/shared/auth/auth_provider_test.dart | mobile/test/shared/community/community_provider_test.dart | mobile/test/shared/huddle/huddle_media_test.dart | mobile/test/shared/huddle/huddle_session_test.dart | mobile/test/shared/huddle/huddle_transport_test.dart | mobile/test/shared/huddle/huddle_wire_test.dart | mobile/test/shared/mentions/agent_identity_provider_test.dart | mobile/test/shared/theme/app_theme_test.dart | mobile/test/shared/widgets/modal_presentation_test.dart | scripts/mobile-worktree-overrides.sh | scripts/test-mobile-worktree-overrides.sh
f99532585a0715bac73b4a6361a9b4966bdb5095,refactor(acp): clarify agent prompt sections (#6501),runtime/auth/data,conflict or missing prerequisite,8,crates/buzz-acp/src/config.rs | crates/buzz-acp/src/lib.rs | crates/buzz-acp/src/pool.rs | crates/buzz-acp/src/queue.rs | desktop/src/features/agents/ui/PersonaCatalogDialog.tsx | desktop/src/features/agents/ui/agentSessionTranscript.ts | desktop/src/features/agents/ui/agentSessionTranscriptHelpers.test.mjs | desktop/src/features/agents/ui/agentSessionTranscriptHelpers.ts
040b203f73576e15ef749b0ff0ee6243f06a5c48,perf(desktop): make the Projects surface render-cheap (#6460),client,conflict or missing prerequisite,12,desktop/src/features/profile/ui/UserProfilePopover.tsx | desktop/src/features/projects/ui/ProjectCards.tsx | desktop/src/features/projects/ui/ProjectsActivityFeed.tsx | desktop/src/features/projects/ui/ProjectsIssuesList.tsx | desktop/src/features/projects/ui/ProjectsOverviewItems.tsx | desktop/src/features/projects/ui/ProjectsOverviewPanel.tsx | desktop/src/features/projects/ui/ProjectsPullRequestsList.tsx | desktop/src/features/projects/ui/ProjectsView.tsx | desktop/src/features/projects/ui/RepositoryCards.tsx | desktop/src/features/projects/ui/projectsViewWorkItems.ts | desktop/src/shared/hooks/useIncrementalMount.test.mjs | desktop/src/shared/hooks/useIncrementalMount.ts
4baccd5394d6166bb68ff03b24e376e322281a59,Downgrade mobile Huddles to audio protocol v2 (#6558),client,conflict or missing prerequisite,10,mobile/HUDDLES.md | mobile/android/app/src/main/kotlin/xyz/block/buzz/mobile/HuddleMediaPlugin.kt | mobile/ios/Runner/HuddleMediaPlugin.swift | mobile/lib/shared/huddle/huddle_auth.dart | mobile/lib/shared/huddle/huddle_media.dart | mobile/lib/shared/huddle/huddle_transport.dart | mobile/lib/shared/huddle/huddle_wire.dart | mobile/test/shared/huddle/huddle_media_test.dart | mobile/test/shared/huddle/huddle_transport_test.dart | mobile/test/shared/huddle/huddle_wire_test.dart
